medcode	readcode	clinical_events	immunisation_events	referral_events	test_events	read_term	database_build
2832	"G848000"	17714	0	2815	2	"Bleeding haemorrhoids NOS"	"February 2009"
15257	"G845000"	1554	0	109	0	"External bleeding haemorrhoids"	"February 2009"
9761	"G842000"	2051	0	122	1	"Internal bleeding haemorrhoids"	"February 2009"
4354	"J68z200"	2568	0	101	0	"Upper gastrointestinal haemorrhage"	"February 2009"
8239	"R063000"	1120	0	163	0	"[D]Cough with haemorrhage"	"February 2009"
501	"R047.00"	311320	0	37646	68	"[D]Epistaxis"	"February 2009"
1557	"R047.11"	32680	0	1647	0	"[D]Nosebleed"	"February 2009"
4166	"R027000"	4727	0	728	6	"[D]Petechiae"	"February 2009"
7285	"R063100"	287	0	2	0	"[D]Pulmonary haemorrhage NOS"	"February 2009"
38851	"R048.00"	121	0	5	0	"[D]Throat haemorrhage"	"February 2009"
7183	"R09z000"	763	0	13	0	"[D]Umbilical bleeding"	"February 2009"
94146	"Ryu7300"	12	0	0	0	"[X]Haemorrhage, not elsewhere classified"	"February 2009"
96630	"Gyu6F00"	13	0	0	0	"[X]Intracerebral haemorrhage in hemisphere, unspecified"	"April 2009"
111849	"Lyu2000"	1	0	0	0	"[X]Other haemorrhage in early pregnancy"	"May 2017"
99935	"Lyu4D00"	1	0	0	0	"[X]Other immediate postpartum haemorrhage"	"June 2010"
53810	"Gyu6200"	34	0	0	0	"[X]Other intracerebral haemorrhage"	"February 2009"
52896	"Kyu9D00"	27	0	1	0	"[X]Other specified abnormal uterine and vaginal bleeding"	"February 2009"
65745	"Gyu6100"	12	0	0	0	"[X]Other subarachnoid haemorrhage"	"February 2009"
108630	"Gyu6E00"	2	0	0	0	"[X]Subarachnoid haemorrh from intracranial artery, unspecif"	"September 2014"
108668	"Gyu6000"	2	0	0	0	"[X]Subarachnoid haemorrhage from other intracranial arteries"	"October 2014"
29702	"FyuH400"	23	0	1	0	"[X]Vitreous haemorrhage in diseases classified elsewhere"	"February 2009"
33676	"K5Ez.00"	6856	0	473	0	"Abnormal uterine and vaginal bleeding, unspecified"	"February 2009"
31918	"K5E0.00"	168	0	17	0	"Abnormal uterine bleeding unrelated to menstrual cycle"	"February 2009"
21946	"K5E1.00"	749	0	36	0	"Abnormal uterine bleeding, unspecified"	"February 2009"
28242	"K5E2.00"	9571	0	494	0	"Abnormal vaginal bleeding, unspecified"	"February 2009"
27956	"TA0..11"	19	0	1	0	"Accidental haemorrhage during medical care"	"February 2009"
66907	"F212.00"	8	0	0	0	"Acute and subacute haemorrhagic leukoencephalitis [Hurst]"	"February 2009"
18001	"J120100"	720	0	2	0	"Acute duodenal ulcer with haemorrhage"	"February 2009"
48730	"J120300"	25	0	0	0	"Acute duodenal ulcer with haemorrhage and perforation"	"February 2009"
30054	"J110100"	352	0	7	0	"Acute gastric ulcer with haemorrhage"	"February 2009"
71403	"J110300"	8	0	0	0	"Acute gastric ulcer with haemorrhage and perforation"	"February 2009"
96628	"J140100"	2	0	0	0	"Acute gastrojejunal ulcer with haemorrhage"	"April 2009"
106330	"J140300"	1	0	0	0	"Acute gastrojejunal ulcer with haemorrhage and perforation"	"June 2013"
29492	"J150000"	864	0	12	0	"Acute haemorrhagic gastritis"	"February 2009"
31395	"J670200"	121	0	5	0	"Acute haemorrhagic pancreatitis"	"February 2009"
44637	"J130100"	96	0	2	0	"Acute peptic ulcer with haemorrhage"	"February 2009"
45304	"J130300"	2	0	0	0	"Acute peptic ulcer with haemorrhage and perforation"	"February 2009"
2743	"D211.00"	525	0	85	5	"Acute posthaemorrhagic anaemia"	"February 2009"
55153	"C154200"	32	0	0	0	"Adrenal haemorrhage"	"February 2009"
101824	"C154211"	3	0	0	0	"Adrenocortical haemorrhage"	"March 2011"
27862	"J681.12"	226	0	78	1	"Altered blood in stools"	"February 2009"
32446	"J573100"	932	0	66	0	"Anal haemorrhage"	"February 2009"
102134	"J08zD00"	78	0	2	0	"Angina bullosa haemorrhagica"	"April 2011"
28126	"L11..12"	289	0	13	0	"Antepartum bleeding"	"February 2009"
2787	"L11..11"	4965	0	1151	3	"Antepartum haemorrhage"	"February 2009"
29618	"L11z.00"	558	0	20	0	"Antepartum haemorrhage NOS"	"February 2009"
37864	"L11zz00"	204	0	4	0	"Antepartum haemorrhage NOS"	"February 2009"
16320	"L11z100"	70	0	3	0	"Antepartum haemorrhage NOS - delivered"	"February 2009"
69344	"L11z200"	27	0	0	0	"Antepartum haemorrhage NOS - not deliv"	"February 2009"
57249	"L11z000"	98	0	2	0	"Antepartum haemorrhage NOS, unspecified"	"February 2009"
48883	"L113.00"	4	0	1	0	"Antepartum haemorrhage with coagulation defect"	"February 2009"
106481	"L113100"	1	0	0	0	"Antepartum haemorrhage with coagulation defect - delivered"	"August 2013"
85182	"L113000"	17	0	0	0	"Antepartum haemorrhage with coagulation defect unspecified"	"February 2009"
60744	"L115.11"	2	0	0	0	"Antepartum haemorrhage with fibroid"	"February 2009"
63656	"L113.13"	10	0	0	0	"Antepartum haemorrhage with hypofibrinogenaemia"	"February 2009"
98964	"L114.00"	2	0	0	0	"Antepartum haemorrhage with trauma"	"April 2010"
69500	"L114100"	4	0	0	0	"Antepartum haemorrhage with trauma - delivered"	"February 2009"
111574	"L114z00"	1	0	0	0	"Antepartum haemorrhage with trauma NOS"	"December 2016"
60741	"L115.12"	13	0	2	0	"Antepartum haemorrhage with uterine fibroid"	"February 2009"
71155	"L115.00"	23	0	7	0	"Antepartum haemorrhage with uterine leiomyoma"	"February 2009"
85204	"L115100"	4	0	0	0	"Antepartum haemorrhage with uterine leiomyoma - delivered"	"February 2009"
103810	"L115z00"	1	0	0	0	"Antepartum haemorrhage with uterine leiomyoma NOS"	"February 2012"
14762	"L11..00"	1053	0	44	0	"Antepartum haemorrhage, abruptio placentae, placenta praevia"	"February 2009"
46179	"7008200"	41	0	0	0	"Aspiration of haematoma of brain tissue"	"February 2009"
7290	"7M0G000"	379	0	12	0	"Aspiration of haematoma of organ NOC"	"February 2009"
46316	"G612.00"	118	0	0	0	"Basal nucleus haemorrhage"	"February 2009"
31051	"7530A00"	952	0	1	0	"Bilateral dissection tonsillectomy"	"February 2009"
37250	"K16y200"	98	0	26	1	"Bladder haemorrhage"	"February 2009"
6309	"K56y111"	13913	0	1040	1	"Bleeding - vaginal NOS"	"February 2009"
11124	"J110111"	511	0	27	0	"Bleeding acute gastric ulcer"	"February 2009"
18625	"J121111"	531	0	4	0	"Bleeding chronic duodenal ulcer"	"February 2009"
36583	"J111111"	58	0	2	0	"Bleeding chronic gastric ulcer"	"February 2009"
2044	"J510900"	604	0	52	1	"Bleeding diverticulosis"	"February 2009"
23439	"SP03216"	297	0	17	0	"Bleeding due to intrauterine contraceptive device"	"February 2009"
108636	"SP07R00"	7	0	0	0	"Bleeding due to intrauterine contraceptive device"	"September 2014"
10118	"K19y400"	860	0	95	0	"Bleeding from urethra"	"February 2009"
9395	"1928.00"	8097	0	196	2	"Bleeding gums"	"February 2009"
9408	"L10y.11"	23289	0	2119	0	"Bleeding in early pregnancy"	"February 2009"
12012	"L36..11"	815	0	38	0	"Bleeding postpartum"	"February 2009"
3872	"J573.11"	259348	0	33105	2	"Bleeding PR"	"February 2009"
42581	"25T0.00"	304	0	14	0	"Bleeding stoma"	"February 2009"
103476	"16R..00"	3520	0	169	0	"Bleeding symptom"	"December 2011"
21582	"42Q3.00"	158	0	16	2605	"Bleeding time"	"February 2009"
15896	"1C43.00"	1893	0	79	0	"Blood discharge from ear"	"February 2009"
5462	"19E6.00"	7080	0	901	2	"Blood in faeces"	"February 2009"
14256	"4762.11"	390	0	97	656	"Blood in faeces"	"February 2009"
6151	"19E6.11"	4555	0	516	0	"Blood in faeces symptom"	"February 2009"
4135	"172..00"	10477	0	728	17	"Blood in sputum - haemoptysis"	"February 2009"
10013	"172..11"	3582	0	281	1	"Blood in sputum - symptom"	"February 2009"
2873	"J681.11"	16573	0	2562	30	"Blood in stool"	"February 2009"
20859	"J681.13"	558	0	80	0	"Blood in stools altered"	"February 2009"
93256	"4B34.11"	0	0	0	1	"Blood in synovial fluid"	"February 2009"
6659	"1A45.00"	25250	0	1255	478	"Blood in urine - haematuria"	"February 2009"
6234	"1A45.11"	14680	0	819	46	"Blood in urine - symptom"	"February 2009"
16617	"1994.11"	967	0	73	0	"Blood in vomit - symptom"	"February 2009"
43534	"4A23.11"	9	0	3	29	"Blood in vomit O/E"	"February 2009"
25124	"K56y112"	3694	0	147	0	"BPV - Vaginal bleeding"	"February 2009"
179	"K59z.11"	127504	0	4512	17	"Break - through bleeding"	"February 2009"
15444	"K31y000"	665	0	51	0	"Breast haematoma due to nontraumatic cause"	"February 2009"
62342	"G615.00"	14	0	1	0	"Bulbar haemorrhage"	"February 2009"
18313	"19E4.12"	505	0	71	0	"C/O - melaena"	"February 2009"
4729	"158..11"	304427	0	21139	5	"C/O p.v. bleeding"	"February 2009"
22651	"G77z000"	279	0	4	0	"Capillary haemorrhage"	"February 2009"
12634	"G673200"	510	0	6	0	"Carotid artery dissection"	"February 2009"
64451	"J636.00"	1	0	0	0	"Central haemorrhagic necrosis of liver"	"February 2009"
13564	"G613.00"	1566	0	23	0	"Cerebellar haemorrhage"	"February 2009"
5682	"S62..00"	666	0	18	0	"Cerebral haemorrhage following injury"	"February 2009"
46545	"S62z.00"	50	0	0	0	"Cerebral haemorrhage following injury NOS"	"February 2009"
37550	"F436.00"	112	0	7	0	"Choroidal haemorrhage and rupture"	"February 2009"
59812	"F436z00"	32	0	0	0	"Choroidal haemorrhage or rupture NOS"	"February 2009"
48951	"J121100"	247	0	2	0	"Chronic duodenal ulcer with haemorrhage"	"February 2009"
71881	"J121300"	6	0	0	0	"Chronic duodenal ulcer with haemorrhage and perforation"	"February 2009"
63582	"J111100"	75	0	0	0	"Chronic gastric ulcer with haemorrhage"	"February 2009"
71897	"J111300"	5	0	0	0	"Chronic gastric ulcer with haemorrhage and perforation"	"February 2009"
110244	"J141300"	1	0	0	0	"Chronic gastrojejunal ulcer with haemorrhage and perforation"	"November 2015"
53126	"J131100"	23	0	0	0	"Chronic peptic ulcer with haemorrhage"	"February 2009"
45421	"S624.00"	40	0	0	0	"Closed traumatic extradural haemorrhage"	"February 2009"
28200	"S704.00"	74	0	2	0	"Closed traumatic haemopneumothorax"	"February 2009"
38304	"S620.00"	54	0	1	0	"Closed traumatic subarachnoid haemorrhage"	"February 2009"
2883	"S622.00"	737	0	86	0	"Closed traumatic subdural haemorrhage"	"February 2009"
112082	"L062100"	1	0	0	0	"Complete illegal abortion + delayed or excessive haemorrhage"	"September 2017"
69183	"L052100"	3	0	0	0	"Complete legal abortion with delayed/excessive haemorrhage"	"February 2009"
107171	"L042100"	3	0	0	0	"Complete spontaneous abortion +delayed/excessive haemorrhage"	"October 2013"
53422	"D21y000"	9	0	0	0	"Congenital dyshaematopoietic anaemia"	"February 2009"
1105	"F4C7200"	18150	0	552	3	"Conjunctival haemorrhage NOS"	"February 2009"
12426	"K587.00"	4183	0	257	0	"Contact bleeding of cervix"	"February 2009"
29820	"SP03217"	50	0	3	0	"Contraception IUCD causing bleeding"	"February 2009"
5320	"SE33200"	2307	0	56	0	"Contusion, fingernail (includes subungual haematoma)"	"February 2009"
45670	"K275100"	48	0	4	0	"Corpus cavernosum haematoma"	"February 2009"
52186	"K275200"	12	0	0	0	"Corpus cavernosum haemorrhage"	"February 2009"
49824	"K531100"	376	0	4	0	"Corpus luteum cyst haemorrhage"	"February 2009"
31595	"G610.00"	124	0	2	0	"Cortical haemorrhage"	"February 2009"
6960	"G61..11"	11459	0	385	1	"CVA - cerebrovascular accid due to intracerebral haemorrhage"	"February 2009"
71253	"F42y300"	10	0	0	0	"Deep retinal haemorrhage"	"February 2009"
64523	"L091z00"	11	0	0	0	"Delayed/excess haemorrhage NOS following abortive pregnancy"	"February 2009"
20307	"L091.00"	354	0	103	0	"Delayed/excessive haemorrhage following abortive pregnancy"	"February 2009"
16521	"G710.00"	1551	0	79	0	"Dissecting aortic aneurysm"	"February 2009"
104311	"G72B.00"	88	0	3	0	"Dissection of artery"	"June 2012"
105117	"G728.00"	4	0	0	0	"Dissection of artery of lower extremity"	"October 2012"
110372	"G725.00"	1	0	0	0	"Dissection of artery of upper extremity"	"December 2015"
22018	"G673000"	85	0	0	0	"Dissection of cerebral arteries, nonruptured"	"February 2009"
105917	"G727.00"	6	0	0	0	"Dissection of iliac artery"	"April 2013"
104957	"G72A.00"	21	0	0	0	"Dissection of other specified arteries"	"September 2012"
107998	"G726.00"	4	0	0	0	"Dissection of renal artery"	"May 2014"
20470	"7530000"	2622	0	21	0	"Dissection tonsillectomy"	"February 2009"
33912	"7530800"	5075	0	1	0	"Dissection tonsillectomy and adenoidectomy"	"February 2009"
60986	"1C61.00"	5423	0	0	0	"Does not have nose bleeds"	"February 2009"
