medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release
802131000006119	"GIB - Gastrointestinal bleeding"	"J68z-1"	"J68z.11"	74474003	802131000006119	
502715010	"Gastrointestinal haemorrhage"	"J68"	"J68..00"	74474003	502715010	
396403016	"Gastrointestinal haemorrhage unspecified"	"J68z"	"J68z.00"	74474003	799611000006114	
303667019	"Gastrointestinal tract haemorrhage NOS"	"J68zz"	"J68zz00"	74474003	799681000006119	
507736019	"Lower gastrointestinal haemorrhage"	"ESCTLO2"	""	87763006	507736019	
486704010	"Upper gastrointestinal haemorrhage"	"J68z2"	"J68z200"	37372002	486704010	
474430017	"Acute duodenal ulcer with haemorrhage"	"J1201"	"J120100"	12847006	474430017	
507303017	"Acute duodenal ulcer with haemorrhage AND perforation"	"J1203"	"J120300"	86895006	507303017	
508664015	"Acute gastric ulcer with haemorrhage"	"J1101"	"J110100"	89748001	508664015	
495273013	"Acute gastric ulcer with haemorrhage AND perforation"	"J1103"	"J110300"	48974009	495273013	
499719010	"Acute gastrojejunal ulcer with haemorrhage"	"J1401"	"J140100"	63954007	499719010	
504674011	"Acute gastrojejunal ulcer with haemorrhage AND perforation"	"J1403"	"J140300"	81387001	504674011	
478553011	"Acute haemorrhagic gastritis"	"J1500"	"J150000"	2367005	481682019	
493743018	"Acute haemorrhagic pancreatitis"	"J6702"	"J670200"	4399003	493743018	
470365013	"Acute peptic ulcer with haemorrhage"	"J1301"	"J130100"	12274003	470365013	
361430016	"Acute peptic ulcer with haemorrhage and perforation"	"J1303"	"J130300"	111353003	361430016	
399228011	"Acute posthaemorrhagic anaemia"	"D211"	"D211.00"	267530009	399228011	
495316011	"Adrenal haemorrhage"	"C1542"	"C154200"	49111001	495316011	
356328018	"Adrenocortical haemorrhage"	"C1542-1"	"C154211"	237766002	356328018	
2871165011	"Aneurysm and dissection of precerebral artery"	"G729"	"G729.00"	713035000	1816201000006115	
495061000006113	"Aspiration of haematoma of brain tissue"	"70082"	"7008200"	171502001	495061000006113	
1235493010	"Bleeding acute gastric ulcer"	"J1101-1"	"J110111"	89748001	1235493010	
1235462014	"Bleeding chronic duodenal ulcer"	"J1211-1"	"J121111"	89469000	1235462014	
1231704018	"Bleeding chronic gastric ulcer"	"J1111-1"	"J111111"	57246001	1231704018	
483988011	"Bulbar haemorrhage"	"G615"	"G615.00"	732923001	527381000006114	
605471000006112	"CVA - cerebrovascular accid due to intracerebral haemorrhage"	"G61-1"	"G61..11"	274100004	605471000006112	
345709014	"Carotid artery dissection"	"G6732"	"G673200"	705066004	1001581000006118	
303521011	"Central haemorrhagic necrosis of liver"	"J636"	"J636.00"	197364000	303521011	
502878012	"Cerebellar haemorrhage"	"G613"	"G613.00"	75038005	502878012	
884421000006119	"Cerebral haemorrhage"	"G6-99"	"G6...99"	62914000	884421000006119	
989201000006117	"Cerebral haemorrhage"	"G61-99"	"G61..99"	274100004	409860011	
894091000006111	"Cerebral haemorrhage - birth"	"Q200-99"	"Q200.99"	206188000	894091000006111	
989211000006119	"Cerebral haemorrhage NOS"	"G61-98"	"G61..98"	274100004	989211000006119	
884451000006111	"Cerebral haemorrhage NOS"	"G62z-99"	"G62z.99"	700251000000105	884451000006111	
505322013	"Cerebral haemorrhage following injury"	"S62"	"S62..00"	450418003	2916363013	
320852013	"Cerebral haemorrhage following injury NOS"	"S62z"	"S62z.00"	450418003	542891000006117	
1573101000006112	"Cerebral infarction with haemorrhagic transformation"	"EMISNQCE4"	""	1573101000006108	1573101000006112	
