readcode	readterm	medcode
"B0...00"	"Malignant neoplasm of lip, oral cavity and pharynx"	19415
"B0...11"	"Carcinoma of lip, oral cavity and pharynx"	24374
"B00..00"	"Malignant neoplasm of lip"	14712
"B00..11"	"Carcinoma of lip"	9984
"B000.00"	"Malignant neoplasm of upper lip, vermilion border"	73962
"B000000"	"Malignant neoplasm of upper lip, external"	66270
"B000100"	"Malignant neoplasm of upper lip, lipstick area"	50296
"B000z00"	"Malignant neoplasm of upper lip, vermilion border NOS"	98740
"B001.00"	"Malignant neoplasm of lower lip, vermilion border"	67446
"B001000"	"Malignant neoplasm of lower lip, external"	66384
"B001100"	"Malignant neoplasm of lower lip, lipstick area"	95480
"B001z00"	"Malignant neoplasm of lower lip, vermilion border NOS"	101707
"B002.00"	"Malignant neoplasm of upper lip, inner aspect"	99493
"B002100"	"Malignant neoplasm of upper lip, frenulum"	99001
"B002200"	"Malignant neoplasm of upper lip, mucosa"	98500
"B002300"	"Malignant neoplasm of upper lip, oral aspect"	90610
"B002z00"	"Malignant neoplasm of upper lip, inner aspect NOS"	100721
"B003.00"	"Malignant neoplasm of lower lip, inner aspect"	71147
"B003000"	"Malignant neoplasm of lower lip, buccal aspect"	67504
"B003100"	"Malignant neoplasm of lower lip, frenulum"	91843
"B003200"	"Malignant neoplasm of lower lip, mucosa"	89909
"B003300"	"Malignant neoplasm of lower lip, oral aspect"	94441
"B003z00"	"Malignant neoplasm of lower lip, inner aspect NOS"	96782
"B004.00"	"Malignant neoplasm of lip unspecified, inner aspect"	61692
"B004000"	"Malignant neoplasm of lip unspecified, buccal aspect"	73614
"B004200"	"Malignant neoplasm of lip unspecified, mucosa"	68399
"B004300"	"Malignant neoplasm of lip, oral aspect"	100144
"B005.00"	"Malignant neoplasm of commissure of lip"	96783
"B006.00"	"Malignant neoplasm of overlapping lesion of lip"	18882
"B007.00"	"Malignant neoplasm of lip, unspecified"	37553
"B00z000"	"Malignant neoplasm of lip, unspecified, external"	100906
"B00z100"	"Malignant neoplasm of lip, unspecified, lipstick area"	94251
"B00zz00"	"Malignant neoplasm of lip, vermilion border NOS"	69761
"B01..00"	"Malignant neoplasm of tongue"	10283
"B010.00"	"Malignant neoplasm of base of tongue"	43431
"B010.11"	"Malignant neoplasm of posterior third of tongue"	69671
"B010000"	"Malignant neoplasm of base of tongue dorsal surface"	34409
"B010z00"	"Malignant neoplasm of fixed part of tongue NOS"	91035
"B011.00"	"Malignant neoplasm of dorsal surface of tongue"	43642
"B011100"	"Malignant neoplasm of midline of tongue"	107258
"B011z00"	"Malignant neoplasm of dorsum of tongue NOS"	43781
"B012.00"	"Malignant neoplasm of tongue, tip and lateral border"	36161
"B013.00"	"Malignant neoplasm of ventral surface of tongue"	62840
"B013000"	"Malignant neoplasm of anterior 2/3 of tongue ventral surface"	102142
"B013100"	"Malignant neoplasm of frenulum linguae"	63979
"B013z00"	"Malignant neoplasm of ventral tongue surface NOS"	38488
"B014.00"	"Malignant neoplasm of anterior 2/3 of tongue unspecified"	58121
"B015.00"	"Malignant neoplasm of tongue, junctional zone"	37096
"B016.00"	"Malignant neoplasm of lingual tonsil"	24852
"B017.00"	"Malignant overlapping lesion of tongue"	47205
