medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release
301055012	"Acute phlegmonous laryngitis"	"H0403"	"H040300"	195683003	301055012	
301022019	"Acute phlegmonous pharyngitis"	"H021"	"H021.00"	195656004	301022019	
450686015	"Cellulitis - anus or rectum"	"J54-1"	"J54..11"	307424002	450686015	
888971000006119	"Cellulitis - digit NOS"	"M02z-99"	"M02z.99"	666551000000101	888971000006119	
888951000006112	"Cellulitis - finger-paronychia"	"M0203-99"	"M020399"	36857002	888951000006112	
889061000006117	"Cellulitis - foot - excl. toe"	"M037-99"	"M037.99"	267783003	889061000006117	
889051000006119	"Cellulitis - leg - excl. foot"	"M036-99"	"M036.99"	267782008	889051000006119	
888961000006114	"Cellulitis - toe"	"M021-99"	"M021.99"	200638004	888961000006114	
889031000006114	"Cellulitis -hand -excl. finger"	"M034-99"	"M034.99"	267780000	889031000006114	
308368017	"Cellulitis NOS"	"M03z0"	"M03z000"	128045006	541211000006118	
308367010	"Cellulitis and abscess NOS"	"M03zz"	"M03zz00"	70759006	540631000006116	
540621000006119	"Cellulitis and abscess NOS"	"M03z"	"M03z.00"	70759006	540621000006119	
308320011	"Cellulitis and abscess of abdominal wall"	"M0323"	"M032300"	200659006	308320011	
308353018	"Cellulitis and abscess of ankle"	"M0364"	"M036400"	200682008	308353018	
308326017	"Cellulitis and abscess of arm"	"M033"	"M033.00"	449717009	540661000006113	
308332010	"Cellulitis and abscess of arm NOS"	"M033z"	"M033z00"	200668008	540671000006118	
308328016	"Cellulitis and abscess of axilla"	"M0331"	"M033100"	200667003	308328016	
308319017	"Cellulitis and abscess of back"	"M0322"	"M032200"	200658003	308319017	
308318013	"Cellulitis and abscess of breast"	"M0321"	"M032100"	200657008	308318013	
308344013	"Cellulitis and abscess of buttock"	"M035"	"M035.00"	200676005	308344013	
399896012	"Cellulitis and abscess of cheek"	"M0300-1"	"M030011"	267777001	399896012	
399895011	"Cellulitis and abscess of cheek (external)"	"M0300"	"M030000"	267777001	399895011	
308317015	"Cellulitis and abscess of chest wall"	"M0320"	"M032000"	200656004	308317015	
308307013	"Cellulitis and abscess of chin"	"M0302"	"M030200"	200648002	308307013	
399893016	"Cellulitis and abscess of digit NOS"	"M02z"	"M02z.00"	200628009	540761000006116	
308330019	"Cellulitis and abscess of elbow"	"M0333"	"M033300"	200669000	308330019	
308300010	"Cellulitis and abscess of face"	"M030"	"M030.00"	200645004	308300010	
308312014	"Cellulitis and abscess of face NOS"	"M030z"	"M030z00"	200645004	540791000006112	
308269011	"Cellulitis and abscess of finger"	"M020"	"M020.00"	200630006	308269011	
308281010	"Cellulitis and abscess of finger NOS"	"M020z"	"M020z00"	200630006	540821000006115	
308266016	"Cellulitis and abscess of finger and toe"	"M02"	"M02..00"	200628009	308266016	
308270012	"Cellulitis and abscess of finger unspecified"	"M0200"	"M020000"	200630006	540831000006117	
308322015	"Cellulitis and abscess of flank"	"M0325"	"M032500"	200661002	308322015	
540851000006112	"Cellulitis and abscess of foot"	"M037-1"	"M037.11"	267783003	540851000006112	
308361011	"Cellulitis and abscess of foot NOS"	"M037z"	"M037z00"	267783003	540871000006119	
399903012	"Cellulitis and abscess of foot excluding toe"	"M037"	"M037.00"	267783003	399903012	
308358010	"Cellulitis and abscess of foot unspecified"	"M0370"	"M037000"	267783003	540881000006116	
308331015	"Cellulitis and abscess of forearm"	"M0334"	"M033400"	200670004	308331015	
308309011	"Cellulitis and abscess of forehead"	"M0304"	"M030400"	200650005	308309011	
308323013	"Cellulitis and abscess of groin"	"M0326"	"M032600"	200662009	308323013	
540921000006112	"Cellulitis and abscess of hand"	"M034-1"	"M034.11"	267780000	540921000006112	
308343019	"Cellulitis and abscess of hand NOS"	"M034z"	"M034z00"	62837005	540941000006117	
399899017	"Cellulitis and abscess of hand excluding digits"	"M034"	"M034.00"	267780000	399899017	
399900010	"Cellulitis and abscess of hand unspecified"	"M0340"	"M034000"	267780000	540951000006115	
399904018	"Cellulitis and abscess of head unspecified"	"M03y0"	"M03y000"	70759006	540961000006118	
308359019	"Cellulitis and abscess of heel"	"M0371"	"M037100"	200686006	308359019	
308349015	"Cellulitis and abscess of hip"	"M0360"	"M036000"	200678006	308349015	
308351016	"Cellulitis and abscess of knee"	"M0362"	"M036200"	200680000	308351016	
399901014	"Cellulitis and abscess of leg"	"M036-1"	"M036.11"	449702005	541001000006110	
308354012	"Cellulitis and abscess of leg NOS"	"M036z"	"M036z00"	449702005	541021000006117	
541011000006113	"Cellulitis and abscess of leg excluding foot"	"M036"	"M036.00"	449702005	541011000006113	
308352011	"Cellulitis and abscess of lower leg"	"M0363"	"M036300"	200681001	308352011	
399898013	"Cellulitis and abscess of neck"	"M031"	"M031.00"	267779003	399898013	
541051000006114	"Cellulitis and abscess of nose"	"M0301-1"	"M030111"	267778006	541051000006114	
399897015	"Cellulitis and abscess of nose (external)"	"M0301"	"M030100"	267778006	399897015	
308324019	"Cellulitis and abscess of perineum"	"M0327"	"M032700"	200663004	308324019	
308327014	"Cellulitis and abscess of shoulder"	"M0330"	"M033000"	200666007	308327014	
308308015	"Cellulitis and abscess of submandibular region"	"M0303"	"M030300"	200649005	308308015	
