medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	term2
2344491000000115	"Serum non high density lipoprotein cholesterol level"	"44PL0"	"44PL000"	1006191000000106	2585861000000117		"Serum non high density lipoprotein cholesterol level"
279462018	"HDL : total cholesterol ratio"	"44PG"	"44PG.00"	1031421000000101	817611000006116		"HDL : total cholesterol ratio"
259236013	"Serum VLDL cholesterol level"	"44P7"	"44P7.00"	1003441000000101	145781000006113		"Serum VLDL cholesterol level"
857141000006116	"LDL cholesterol level"	"EGTONLD1"	""	857141000006100	857141000006116		"LDL cholesterol level"
259242012	"Serum fasting HDL cholesterol level"	"44PB"	"44PB.00"	1026451000000102	143781000006112		"Serum fasting HDL cholesterol level"
259227014	"Serum cholesterol normal"	"44P1"	"44P1.00"	166828006	259227014		"Serum cholesterol normal"
458314019	"Plasma LDL cholesterol level"	"44dB"	"44dB.00"	1010591000000104	224361000006116		"Plasma LDL cholesterol level"
356867016	"Polygenic hypercholesterolaemia"	"C3206"	"C320600"	238077000	356867016		"Polygenic hypercholesterolaemia"
150921000006118	"Serum cholesterol"	"44P"	"44P..00"	1005671000000105	150921000006118		"Serum cholesterol"
259570010	"Plasma fasting LDL cholesterol level"	"44d5"	"44d5.00"	1028861000000101	224031000006110		"Plasma fasting LDL cholesterol level"
259243019	"Serum random HDL cholesterol level"	"44PC"	"44PC.00"	1026461000000104	145031000006110		"Serum random HDL cholesterol level"
259239018	"Serum cholesterol studies"	"44P9"	"44P9.00"	1026441000000100	2599591000000110		"Serum cholesterol studies"
475418015	"Hypercholesterolaemia"	"C329"	"C329.00"	13644009	475418015		"Hypercholesterolaemia"
987321000006112	"Pre-treatment fasting HDL cholesterol"	"EMISNQPR9"	""	987321000006108	987321000006112		"Pre-treatment fasting HDL cholesterol"
405621000000116	"Serum fasting total cholesterol"	"44PK"	"44PK.00"	247801000000106	405621000000116		"Serum fasting total cholesterol"
259567011	"Plasma fasting HDL cholesterol level"	"44d3"	"44d3.00"	1028841000000102	224021000006112		"Plasma fasting HDL cholesterol level"
259232010	"Serum HDL cholesterol level"	"44P5"	"44P5.00"	1005681000000107	144131000006112		"Serum HDL cholesterol level"
144141000006119	"Serum HDL:non-HDL cholesterol ratio"	"44P8"	"44P8.00"	1015271000000109	144141000006119		"Serum HDL:non-HDL cholesterol ratio"
259564016	"Plasma random HDL cholesterol level"	"44d2"	"44d2.00"	1028831000000106	224621000006118		"Plasma random HDL cholesterol level"
2478443019	"Serum total cholesterol level"	"44PJ"	"44PJ.00"	994351000000103	2581451000000115		"Serum total cholesterol level"
458253013	"Serum cholesterol/LDL ratio"	"44lH"	"44lH.00"	1015701000000106	151001000006115		"Serum cholesterol/LDL ratio"
259233017	"Serum LDL cholesterol level"	"44P6"	"44P6.00"	1022191000000100	144401000006110		"Serum LDL cholesterol level"
