medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release	term2	term1	totalcholesterol	HDL	totaloverHDL	HDLovertotal	hypercholesterolaemia	cholesterolnormal	nonHDL	LDL	VLDL	choltoLDLratio	choltoVLDLratio	HDLtononHDLratio	check
259229012	"Serum cholesterol raised"	"44P3"	"44P3.00"	166830008	259229012		"Serum cholesterol raised"	"serum cholesterol raised"	0	0	0	0	1	0	0	0	0	0	0	0	
259570010	"Plasma fasting LDL cholesterol level"	"44d5"	"44d5.00"	1028861000000101	224031000006110		"Plasma fasting LDL cholesterol level"	"plasma fasting ldl cholesterol level"	0	0	0	0	0	0	0	1	0	0	0	0	
34521000033114	"Cholesterol"	"DRGC406"	""	84698008	34521000033114		"Cholesterol"	"cholesterol"	1	0	0	0	0	0	0	0	0	0	0	0	
356867016	"Polygenic hypercholesterolaemia"	"C3206"	"C320600"	238077000	356867016		"Polygenic hypercholesterolaemia"	"polygenic hypercholesterolaemia"	0	0	0	0	1	0	0	0	0	0	0	0	
259232010	"Serum HDL cholesterol level"	"44P5"	"44P5.00"	1005681000000107	144131000006112		"Serum HDL cholesterol level"	"serum hdl cholesterol level"	0	1	0	0	0	0	0	0	0	0	0	0	
1488764011	"Calculated LDL cholesterol level"	"44PI"	"44PI.00"	1014501000000104	844031000006115		"Calculated LDL cholesterol level"	"calculated ldl cholesterol level"	0	0	0	0	0	0	0	1	0	0	0	0	
186091018	"Total cholesterol measurement"	"44PH"	"44PH.00"	121868005	186091018		"Total cholesterol measurement"	"total cholesterol measurement"	1	0	0	0	0	0	0	0	0	0	0	0	
458260019	"Plasma cholesterol/VLDL ratio"	"44lK"	"44lK.00"	1015731000000100	223831000006119		"Plasma cholesterol/VLDL ratio"	"plasma cholesterol/vldl ratio"	0	0	0	0	0	0	0	0	0	0	1	0	
458253013	"Serum cholesterol/LDL ratio"	"44lH"	"44lH.00"	1015701000000106	151001000006115		"Serum cholesterol/LDL ratio"	"serum cholesterol/ldl ratio"	0	0	0	0	0	0	0	0	0	1	0	0	
259242012	"Serum fasting HDL cholesterol level"	"44PB"	"44PB.00"	1026451000000102	143781000006112		"Serum fasting HDL cholesterol level"	"serum fasting hdl cholesterol level"	0	1	0	0	0	0	0	0	0	0	0	0	
279462018	"HDL : total cholesterol ratio"	"44PG"	"44PG.00"	1031421000000101	817611000006116		"HDL : total cholesterol ratio"	"hdl : total cholesterol ratio"	0	0	0	1	0	0	0	0	0	0	0	0	
458249011	"Serum cholesterol/HDL ratio"	"44lF"	"44lF.00"	1015681000000109	150991000006116		"Serum cholesterol/HDL ratio"	"serum cholesterol/hdl ratio"	0	0	1	0	0	0	0	0	0	0	0	0	
259252011	"Serum cholesterol NOS"	"44PZ"	"44PZ.00"	1005671000000105	150951000006110		"Serum cholesterol NOS"	"serum cholesterol nos"	1	0	0	0	0	0	0	0	0	0	0	0	
