medcode	readcode	clinical_events	immunisation_events	referral_events	test_events	read_term	database_build	term1	totalcholesterol	HDL	totaloverHDL	HDLovertotal	hypercholesterolaemia	cholesterolnormal	nonHDL	LDL	VLDL	choltoLDLratio	choltoVLDLratio	HDLtononHDLratio
53091	"C320y00"	307	0	1	0	"Other specified pure hypercholesterolaemia"	"February 2009"	"other specified pure hypercholesterolaemia"	0	0	0	0	1	0	0	0	0	0	0	0
50393	"44lI.00"	0	0	0	30	"Plasma cholesterol/LDL ratio"	"February 2009"	"plasma cholesterol/ldl ratio"	0	0	0	0	0	0	0	0	0	1	0	0
13766	"44PI.00"	12	0	7	2149720	"Calculated LDL cholesterol level"	"February 2009"	"calculated ldl cholesterol level"	0	0	0	0	0	0	0	1	0	0	0	0
35583	"44lH.00"	1	0	0	12972	"Serum cholesterol/LDL ratio"	"February 2009"	"serum cholesterol/ldl ratio"	0	0	0	0	0	0	0	0	0	1	0	0
39092	"4QA0.00"	3	0	0	14	"7-Dehydrocholesterol level"	"February 2009"	"7-dehydrocholesterol level"	1	0	0	0	0	0	0	0	0	0	0	0
12821	"44PK.00"	3204	0	54	23701	"Serum fasting total cholesterol"	"February 2009"	"serum fasting total cholesterol"	1	0	0	0	0	0	0	0	0	0	0	0
2493	"44P3.00"	52050	0	40242	142007	"Serum cholesterol raised"	"February 2009"	"serum cholesterol raised"	0	0	0	0	1	0	0	0	0	0	0	0
18040	"44OE.00"	870	0	24	369633	"Plasma total cholesterol level"	"February 2009"	"plasma total cholesterol level"	1	0	0	0	0	0	0	0	0	0	0	0
13816	"44P7.00"	1	0	2	27595	"Serum VLDL cholesterol level"	"February 2009"	"serum vldl cholesterol level"	0	0	0	0	0	0	0	0	1	0	0	0
37206	"44P9.00"	309	0	5	31174	"Serum cholesterol studies"	"February 2009"	"serum cholesterol studies"	1	0	0	0	0	0	0	0	0	0	0	0
12	"44P..00"	178632	0	384439	18867633	"Serum cholesterol"	"February 2009"	"serum cholesterol"	1	0	0	0	0	0	0	0	0	0	0	0
622	"44P1.00"	14990	0	33289	137814	"Serum cholesterol normal"	"February 2009"	"serum cholesterol normal"	0	0	0	0	0	1	0	0	0	0	0	0
7447	"C320z00"	17874	0	84	0	"Pure hypercholesterolaemia NOS"	"February 2009"	"pure hypercholesterolaemia nos"	0	0	0	0	1	0	0	0	0	0	0	0
13765	"44PD.00"	33	0	18	61438	"Serum fasting LDL cholesterol level"	"February 2009"	"serum fasting ldl cholesterol level"	0	0	0	0	0	0	0	1	0	0	0	0
339	"C320.00"	436580	0	12974	684	"Pure hypercholesterolaemia"	"February 2009"	"pure hypercholesterolaemia"	0	0	0	0	1	0	0	0	0	0	0	0
46224	"44PE.00"	2	0	40	24841	"Serum random LDL cholesterol level"	"February 2009"	"serum random ldl cholesterol level"	0	0	0	0	0	0	0	1	0	0	0	0
