v1	medcodeid	cleansedreadcode	observations	term	snomedctconceptid
386	300016017	"G544200"	400	"Combined disorders of mitral, aortic and tricuspid valves"	195005009
251	512130019	"P735.11"	40	"Congenital stricture of pulmonary artery"	95441000
103	193401000006117	"P736.12"	400	"Pulmonary arteriovenous malformation"	303070000
432	315688018	"Pyu2700"	200	"Congenital anomaly of pulmonary artery"	36110001
533	3863421000006112	" "	10	"Corrected transposition of great vessels"	83799000
371	460331011	"ZV15100"	100	"History of major cardiovascular surgery"	15081000119105
719	9771010	"P6y4000"	4	"Congenital absence of coronary artery"	5230009
216	371771000006115	"Pyu2F00"	200	"[X]Congenital malforms of cardiac chambers+connections unsp"	363660007
286	270950019	"7911400"	900	"Aortic valvuloplasty NEC"	112816004
165	313458018	"P720.00"	800	"Congenital anomaly of aorta"	59877000
615	270766014	"7900100"	7	"Revision of transplantation of heart and lung"	174803001
489	637121000000110	"P6y8.00"	70	"Congenital dextroposition of heart"	341751000000103
650	270767017	"7900y00"	10	"Other specified transplantation of heart and lung"	174802006
612	2675435016	"791B300"	20	"Closure of aorto-left ventricular tunnel"	427265007
791	5327821000006115	" "	4	"Double inlet left ventricle"	253283000
541	324974014	"SP08400"	20	"Heart transplant failure and rejection"	213151004
749	2544081000006116	" "	2	"Right ventricular hypoplasia"	2829000
758	505081012	"P65..11"	2	"Duroziez's disease"	82458004
568	4663791000006113	" "	3	"Allotransplant of heart and lung"	174802006
710	377724010	"P711.11"	1	"Preductal hypoplasia of aorta"	253674003
564	7360241000006116	" "	6	"Double outlet right ventricle with subpulmonary ventricular septal defect"	448794008
685	1587311000006114	"7908111"	8	"Repair of defect of interventricular septum using pericardial patch"	174851009
17	50693015	"P54..00"	100000	"Ventricular septal defect"	30288003
261	89332015	"G3...12"	1000	"Atherosclerotic heart disease"	443502000
463	313513014	"P741000"	20	"Subdiaphragmatic total anomalous pulmonary venous return"	204456001
467	3807401000006112	" "	20	"Roger's disease"	80387009
243	818791000006118	"790..13"	200	"Operation on cardiac septum"	77371000
412	313381017	"P6yy.00"	90	"Other specified heart anomalies"	13213009
147	270830019	"7907400"	20	"Revision of closure of defect of interatrial septum"	174848002
735	2619021000006117	" "	2	"DORV - Double outlet right ventricle"	7484005
132	271526019	"7A1z.00"	800	"Aorta operations NOS"	32907006
785	4824801000006113	" "	5	"Ebstein's malformation of tricuspid valve"	204357006
769	3711941000006110	" "	4	"Aortic diverticulum"	74561007
94	569651000006112	"7909100"	600	"Closure defect of heart septum using pericardial patch NEC"	77371000
538	271388016	"7A09.00"	40	"Other open operations on pulmonary artery"	233207009
158	300014019	"G544000"	300	"Disorders of both aortic and tricuspid valves"	195003002
317	383061000000112	"790Jz00"	70	"Other repair of transposition of great arteries NOS"	395723006
691	1587221000006113	"7907011"	4	"Repair of defect of interatrial septum using prosthetic patch"	174844000
472	313444015	"P6z2.00"	200	"Acyanotic congenital heart disease NOS"	13213009
98	270981011	"7913400"	300	"Pulmonary valvuloplasty NEC"	265475009
356	1546491000006118	"790C200"	200	"Percutaneous transluminal atrial septum fenestration closure with prosthesis"	233831000000107
767	5328951000006116	" "	1	"Partial atrioventricular septal defect"	253373002
310	313398017	"P6y4z00"	300	"Coronary artery anomaly NOS"	28574005
681	4824831000006117	" "	8	"Parachute malformation of mitral valve"	204362007
513	580911000006114	"L185000"	8	"Congenital cardiovasc dis - unsp whether in preg/puerperium"	267207004
2	1222315016	"G541212"	60000	"Aortic regurgitation alone, cause unspecified"	60234000
225	465651000000113	"7913411"	200	"Pulmonary valve repair NEC"	386749005
352	313375013	"P650.00"	6	"Congenital mitral stenosis, unspecified"	82458004
280	5329321000006119	" "	2	"Double orifice of mitral valve"	253402005
291	641961000006119	"P56..00"	100	"Endocardial cushion defect"	15459006
519	193391000006119	"P736.11"	50	"Pulmonary arterio-venous fistula"	253639004
673	270776012	"7901500"	10	"Revision of transplantation of heart NEC"	32413006
634	465681000000119	"7906211"	10	"Repair defect of atrioventricular septum using tissue graft"	174839007
515	1546731000006111	"790L200"	30	"Percutaneous transluminal closure of defect of interatrial septum using prosthesis"	429761006
709	377728013	"P712.12"	2	"Postductal interruption of aorta"	253677005
377	377267018	"P59..00"	800	"Isomerism of atrial appendages"	253335001
318	559841000006118	"7908000"	200	"Closure of defect of interventricular septum using prosthetic patch"	89814007
500	313435016	"P6yyz00"	40	"Other specified heart anomalies NOS"	13213009
740	2709711000006116	" "	2	"CHD - Congenital heart disease"	13213009
41	299990018	"G541300"	40000	"Aortic valve stenosis"	60573004
392	349159019	"790C011"	200	"Rashkind balloon atrial septostomy"	233044001
666	313388011	"P6y3z00"	10	"Obstructive heart anomaly NEC NOS"	13213009
315	597091000006118	"7905z00"	90	"Correction of total anomalous pulmonary venous connection"	174830006
434	583691000006118	"P6X..00"	50	"Congenital malformation of tricuspid valve, unspecified"	4374004
456	4824881000006116	" "	20	"Infundibular pulmonic stenosis"	204370002
298	270916011	"790z.00"	200	"Heart wall, septum and chamber operations NOS"	265466007
720	3852711000006112	" "	1	"Congenital insufficiency of tricuspid valve"	83119008
268	96991000006117	"P741.00"	500	"Total anomalous pulmonary venous connection"	111323005
333	299650019	"G210z00"	90	"Malignant hypertensive heart disease NOS"	54225002
705	315641017	"PKyz100"	5	"Acardia"	205834002
496	313349014	"P600.00"	200	"Pulmonary valve anomaly, unspecified"	204339005
378	313280018	"P511200"	60	"Incomplete great vessel transposition"	204300001
169	300865011	"Gyu1200"	200	"[X]Other tricuspid valve diseases"	20721001
609	465591000000118	"7902y11"	60	"Other specified repair of tetralogy of Fallot"	174814003
194	2478825010	"P722500"	90	"Atresia of aorta"	7438000
60	299606015	"G131.13"	90	"Mitral stenosis and aortic incompetence"	194734000
563	313418015	"P6yy100"	6	"Hypoplasia of cardiac vein"	204391005
181	1222306011	"G140412"	600	"Tricuspid incompetence, cause unspecified"	111287006
211	371021000006118	"Gyu1.00"	300	"[X]Chronic rheumatic heart disease"	87648004
757	5333171000006116	" "	1	"Interrupted aortic arch distal to left subclavian artery"	253681005
176	465521000000116	"7912511"	1000	"Tricuspid valve repair NEC"	384643000
148	1478969019	"7910.11"	2000	"Mitral valvuloplasty"	384642005
528	600091000006110	"7A04000"	10	"Creation of aortopulmonary window"	175228009
479	376940010	"7907.11"	20	"Repair of defect of interatrial septum"	112811009
512	377170014	"P6yy.13"	10	"Congenital insufficiency of heart valve NEC"	13213009
300	299993016	"G542.00"	400	"Tricuspid valve disorders, non-rheumatic"	194989009
73	596141000006112	"P512.00"	700	"Congenitally corrected transposition of great arteries"	83799000
97	498101000006117	"7903000"	80	"Atrial inversion operation with patch"	40250003
436	476311019	"P56z100"	50	"Common atrioventricular canal"	360481003
647	507003013	"P731.00"	10	"Pulmonary artery agenesis"	86252004
64	299996012	"G542012"	3000	"Tricuspid regurgitation, non-rheumatic"	194990000
43	132655012	"G41z.11"	20000	"Chronic cor pulmonale"	79955004
531	569681000006116	"7907200"	10	"Closure defect of interatrial septum using tissue graft NEC"	233037005
337	400797016	"P51y.00"	100	"Other specified transposition of great vessels"	204296002
797	3725681000006119	" "	1	"Congenital anomaly of mitral valve"	75372006
184	596841000006116	"790F100"	400	"Correction of partial anomalous pulmonary venous drainage"	174900004
203	299593012	"G112.12"	90	"Mitral stenosis with incompetence"	194726006
712	271045017	"7919200"	2	"Percutaneous transluminal tricuspid valvotomy"	174989000
223	270832010	"7907z00"	700	"Closure of defect of interatrial septum NOS"	233037005
469	376521000000112	"791Cy00"	80	"Other specified operations on aortic root"	232816009
605	5333141000006112	" "	2	"Thoracic aortic coarctation"	253678000
189	194021000006117	"7913.11"	1000	"Pulmonary valvuloplasty"	386749005
488	5777016	"P6y3000"	30	"Uhl's disease"	2829000
554	580961000006112	"L185z00"	40	"Congenital cardiovascular disorder in preg/childb/puerp NOS"	267207004
49	400798014	"P51z.00"	900	"Discordant ventriculoarterial connection"	204296002
523	13148012	"P58..00"	100	"Double outlet left ventricle"	7368005
777	3852721000006116	" "	1	"Congenital tricuspid regurgitation"	83119008
