v1	medcode	readcode	clinicalevents	readterm
176	34932	"G543400"	443	"Pulmonary valve stenosis with insufficiency"
252	37995	"790..11"	47	"Heart atria and ventricle operations"
616	113950	"P711.11"	1	"Preductal hypoplasia of aorta"
40	15643	"G1y..00"	966	"Other specified chronic rheumatic heart disease"
258	44376	"G10..00"	46	"Chronic rheumatic pericarditis"
351	108307	"7907111"	1	"Repair defect of interatrial septum using pericardial patch"
50	28367	"7907300"	82	"Primary closure of defect of interatrial septum NEC"
458	41495	"7901z00"	50	"Other transplantation of heart NOS"
332	93719	"7902600"	17	"Repair Fallot-type pulmonary atresia aortopulmonary collater"
411	39671	"G54z000"	60	"Incompetence of unspecified heart valve"
395	37405	"P50..11"	33	"Aortic septal defect"
151	21851	"P603.00"	76	"Right hypoplastic heart syndrome"
162	91892	"7908.11"	20	"Repair of defect of interventricular septum"
130	11982	"P6zz.00"	257	"Congenital heart anomaly NOS"
480	98538	"G542X00"	1	"Nonrheumatic tricuspid valve disorder, unspecified"
522	95578	"7908311"	9	"Primary repair of defect of interventricular septum NEC"
454	106644	"Pyu2600"	3	"[X]Other congenital malformations of aorta"
592	106726	"790L311"	1	"Percutan transluminal repair defect interatrial septum NEC"
68	2670	"P735.00"	1264	"Stenosis of pulmonary artery"
543	93241	"7N42y00"	5	"[SO]Specified aorta NEC"
206	17605	"D410200"	34	"Polycythaemia due to cyanotic heart disease"
36	19956	"7902z00"	203	"Correction of tetralogy of Fallot NOS"
166	20153	"P545.00"	44	"Roger's disease"
409	67299	"7907y00"	21	"Other specified closure of defect of interatrial septum"
255	45187	"P500.12"	38	"Truncus arteriosus"
559	68659	"G23z.00"	9	"Hypertensive heart and renal disease NOS"
573	107710	"Pyu2H00"	1	"[X]Congenital malformation of aortic and mitral valves unsp"
541	59275	"G14z.11"	4	"Rheumatic valvulitis, chronic NOS"
69	9286	"G140413"	10912	"Tricuspid regurgitation, cause unspecified"
141	56575	"P541.00"	56	"Interventricular septal defect"
556	58189	"P722411"	4	"Congenital stenosis of ascending aorta"
128	104266	"P6y3100"	83	"Right ventricular outflow tract obstruction"
113	42748	"7917100"	90	"Closed aortic valvotomy"
