v1	medcodeid	cleansedreadcode	observations	term	snomedctconceptid
159	882211000006118	"E003.99"	500	"Senile dementia-acute confused"	191461002
200	2221421000000114	"8T05.00"	9000	"Referral to dementia service"	858501000000103
316	397971000006117	"Eu17600"	4	"[X]Mental and behav dis due to use tobacco: amnesic syndrome"	30310000
311	2620471000000118	" "	30	"Shared care prescribing of drugs for dementia declined"	720022007
349	6900241000006112	" "	30	"Dementia in Alzheimer's disease - type 1"	416975007
90	294645010	"E002000"	3000	"Senile dementia with paranoia"	191458003
292	1823871000006112	" "	200	"Dementia confirmed"	1823871000006108
61	1972081000006115	" "	3000	"Unspecified dementia, other mixed symptoms"	1972081000006104
81	2620431000000115	" "	3000	"Shared care prescribing of drug for dementia"	719787003
299	142920010	"A410.00"	30	"Kuru"	86188000
354	5618261000006114	" "	50	"Dementia of frontal lobe type"	278857002
254	5005691000006117	" "	1	"Non-Alzheimer's progressive dysphasia"	230279005
479	1971771000006112	" "	1	"Dementia in Alzheimer's disease with early onset, other symptoms, predominantly hallucinatory"	1971771000006108
288	251194016	"13Y7.00"	200	"Alzheimer's disease society member"	161108005
151	542611000006114	"F11x000"	700	"Cerebral degeneration due to alcoholism"	192811002
55	499946014	"F110000"	20000	"Alzheimer's disease with early onset"	416780008
228	406841000000115	"9Ou..00"	10000	"Dementia monitoring administration"	713821000000106
272	914801000006116	" "	400	"Local Alzheimer's society involved"	914801000006100
223	1949621000006118	" "	9	"Dementia stage at diagnosis"	1949621000006102
130	399393010	"F11z.00"	30000	"Cerebral degeneration"	418143002
26	359241000006119	"Eu02z00"	300000	"Dementia"	52448006
101	295685013	"Eu02000"	4000	"Dementia due to Pick's disease"	21921000119103
327	496158012	"A941.00"	100	"General paresis - neurosyphilis"	51928006
35	345092016	"F118.00"	4000	"Frontotemporal degeneration"	230273006
203	1973401000006112	" "	300	"Other vascular dementia, other mixed symptoms"	1973401000006108
191	294646011	"E002100"	4000	"Senile dementia with depression"	191459006
40	999961000006114	"9hD0.00"	40000	"Excepted from dementia quality indicators - patient unsuitable"	716341000000104
47	251625013	"1461.00"	70000	"H/O: dementia"	161465002
