v1	medcode	readcode	clinicalevents	readterm
115	39799	"Eu10600"	166	"[X]Mental and behav dis due to use alcohol: amnesic syndrome"
2	12710	"6AB..00"	384544	"Dementia annual review"
153	30032	"E001200"	172	"Presenile dementia with paranoia"
226	68194	"F21y211"	7	"Binswanger's encephalopathy"
32	3325	"R009.11"	4481	"[D] Senile confusion"
170	60059	"Eu00012"	32	"[X]Primary degen dementia, Alzheimer's type, presenile onset"
41	7323	"E000.00"	21440	"Uncomplicated senile dementia"
230	24581	"F11x600"	14	"Cerebral degeneration due to vitamin B12 deficiency"
139	49674	"9Ou1.00"	29566	"Dementia monitoring first letter"
189	54505	"E012.00"	249	"Other alcoholic dementia"
45	11175	"Eu01100"	1672	"[X]Multi-infarct dementia"
245	47658	"F11x500"	9	"Cerebral degeneration due to myxoedema"
178	42602	"E001000"	54	"Uncomplicated presenile dementia"
255	67762	"F103100"	2	"Cerebral degeneration in mucopolysaccharidoses"
185	55838	"Eu01111"	50	"[X]Predominantly cortical dementia"
130	31892	"F11..00"	331	"Other cerebral degenerations"
127	109731	"8CMZ000"	5551	"Dementia care plan agreed"
8	1350	"E00..12"	77985	"Senile/presenile dementia"
12	1917	"F110.00"	85227	"Alzheimer's disease"
257	109397	"8T05000"	102	"Referral to dementia support organisation"
168	108391	"8IAe000"	155	"Dementia advance care plan declined"
63	15249	"E00y.00"	2174	"Other senile and presenile organic psychoses"
224	48501	"Eu02z11"	105	"[X] Presenile dementia NOS"
22	55023	"66h..00"	17596	"Dementia monitoring"
148	55467	"E004200"	57	"Arteriosclerotic dementia with paranoia"
123	4214	"R20..11"	577	"[D]Senile tremor"
216	89037	"9Ou4.00"	683	"Dementia monitoring verbal invite"
27	104155	"1JA2.00"	6751	"Suspected dementia"
133	49263	"Eu00000"	691	"[X]Dementia in Alzheimer's disease with early onset"
183	29512	"F112.00"	746	"Senile degeneration of brain"
162	56912	"E004100"	40	"Arteriosclerotic dementia with delirium"
156	37014	"Eu02200"	272	"[X]Dementia in Huntington's disease"
95	37015	"E003.00"	940	"Senile dementia with delirium"
71	4500	"E011000"	2418	"Korsakov's alcoholic psychosis"
82	109737	"8BM0200"	1216	"Dementia medication review"
0	9565	"Eu01.11"	1269	"[X]Arteriosclerotic dementia"
54	31016	"Eu01300"	2709	"[X]Mixed cortical and subcortical vascular dementia"
21	12621	"Eu02.00"	1378	"[X]Dementia in other diseases classified elsewhere"
166	109790	"8CMe000"	1522	"Dementia advance care plan"
136	47619	"Eu02z12"	62	"[X] Presenile psychosis NOS"
150	43292	"E004300"	119	"Arteriosclerotic dementia with depression"
56	11379	"Eu00112"	1697	"[X]Senile dementia,Alzheimer's type"
