v1	medcodeid	cleansedreadcode	observations	term	snomedctconceptid	Typei	Typeii	unknowntype
892	7507871000006114	" "	7	"Diabetes self management plan"	698360004	0	0	1
590	298811000000118	"8I3k.00"	7000	"Insulin therapy declined"	198321000000100	0	0	1
996	1704771000006111	"9m0B.00"	60	"Excluded from diabetic retinopathy screening as no current contact details"	374781000000105	0	0	1
1176	1030541000006112	" "	20	"Adverse reaction to Insulin Glargine"	1030541000006108	0	0	1
385	2549196011	"679R.00"	80000	"Patient offered diabetes structured education programme"	1103691000000102	0	0	1
1403	7728071000006113	" "	5	"Referral to diabetes service"	715159005	0	0	1
1511	1099881000006117	" "	2	"Adverse reaction to Isophane Insulin (Human)"	1099881000006101	0	0	1
236	223291000000111	"C100111"	20000	"Maturity onset diabetes"	44054006	0	0	1
141	264719017	"66AM.00"	20000	"Diabetic - follow-up default"	170771004	0	0	1
656	12121371000006112	" "	10000	"Diabetes structured education programme offered"	1103691000000102	0	0	1
985	1013691000006119	" "	100	"Adverse reaction to Intermediate And Long Acting Insulin Preparations"	1013691000006103	0	0	1
295	2159960011	"8I6F.00"	30000	"Diabetic retinopathy screening not indicated"	408396006	0	0	1
791	7107831000006117	" "	1000	"Diabetic education completed"	429729007	0	0	1
1323	2550887011	"C113.00"	10	"Post-surgical hypoinsulinaemia"	190437000	0	0	1
99	345486016	"F372.12"	100000	"Diabetic neuropathy"	230572002	0	0	1
1429	5976641000006118	" "	2	"Admission to diabetic department"	308253000	0	0	1
1050	5109621000006112	" "	60	"MODY - Maturity onset diabetes glucokinase-related"	237604008	0	0	1
343	841011000006112	"F420800"	600	"Severe nonproliferative diabetic retinopathy"	312905005	0	0	1
1454	1119321000006119	" "	1	"Adverse reaction to Insulin Soluble Aspart"	1119321000006103	0	0	1
553	1673581000006117	" "	400	"Ineligibility for diabetic eye screening: Physical disability"	1673581000006101	0	0	1
661	7483291000006111	" "	400	"Symptomatic diabetic peripheral neuropathy absent"	473134007	0	0	1
334	2159976019	"2BBS.00"	40000	"O/E - left eye preproliferative diabetic retinopathy"	408412005	0	0	1
