v1	medcode	readcode	clinicalevents	readterm	Typei	Typeii	unknowntype
511	50937	"8HTe.00"	61	"Referral to diabetes preconception counselling clinic"	0	0	1
333	22487	"C10N.00"	321	"Secondary diabetes mellitus"	0	0	1
718	91164	"ZRB4.11"	6	"CSQ - Diabetes clinic satisfaction questionnaire"	0	0	1
77	51697	"C10G.00"	696	"Secondary pancreatic diabetes mellitus"	0	0	1
153	2475	"C104.11"	4979	"Diabetic nephropathy"	0	0	1
491	28856	"8CP2.00"	148	"Transition of diabetes care options discussed"	0	0	1
70	18824	"8I3W.00"	41628	"Diabetic foot examination declined"	0	0	1
403	95636	"C10ER00"	574	"Latent autoimmune diabetes mellitus in adult"	0	0	1
5	3550	"66A..00"	3255857	"Diabetic monitoring"	0	0	1
694	94383	"C10N000"	12	"Secondary diabetes mellitus without complication"	0	0	1
795	100292	"Cyu2300"	2	"[X]Unspecified diabetes mellitus with renal complications"	0	0	1
86	6430	"9NM0.00"	29732	"Attending diabetes clinic"	0	0	1
446	102768	"9NiZ.00"	1868	"Did not attend diabetes foot screening"	0	0	1
442	104374	"67D8.00"	26056	"Provision of diabetes clinical summary"	0	0	1
572	101190	"66AQ100"	63	"Declined consent for diabetes year of care programme"	0	0	1
463	104669	"8IF..00"	30	"Prof judgemnt not to engage pt wt insulin alert requirements"	0	0	1
355	34152	"G73y000"	286	"Diabetic peripheral angiopathy"	0	0	1
227	26605	"9OLB.00"	4323	"Attended diabetes structured education programme"	0	0	1
520	35321	"8H3O.00"	237	"Non-urgent diabetic admission"	0	0	1
81	13100	"2BBJ.00"	604441	"O/E - no right diabetic retinopathy"	0	0	1
620	103935	"1IA..00"	9	"No evidence of diabetic nephropathy"	0	0	1
822	115541	"C10A400"	1	"Malnutrition-related diabetes mellitus wth neuro complicatns"	0	0	1
798	102163	"C10ED12"	1	"Insulin dependent diabetes mellitus with nephropathy"	0	0	1
650	105937	"8IEQ.00"	44	"Referral to community diabetes specialist nurse declined"	0	0	1
248	11626	"F420z00"	4530	"Diabetic retinopathy NOS"	0	0	1
21	1038	"C100011"	39121	"Insulin dependent diabetes mellitus"	0	0	1
808	113525	"8CdD.00"	5	"Advised to maintain back up supply insulin subcut injection"	0	0	1
377	100791	"66Ar.00"	140	"Insulin treatment stopped"	0	0	1
719	44260	"C108F00"	20	"Insulin dependent diabetes mellitus with diabetic cataract"	0	0	1
174	7328	"M037200"	925	"Cellulitis in diabetic foot"	0	0	1
453	106329	"9m08.00"	9	"Excluded from diabetic retinopathy screening as blind"	0	0	1
197	11018	"8HBG.00"	5435	"Diabetic retinopathy 12 month review"	0	0	1
426	48078	"F372000"	194	"Acute painful diabetic neuropathy"	0	0	1
171	11930	"9NN9.00"	5280	"Under care of diabetes specialist nurse"	0	0	1
670	13279	"C104y00"	16	"Other specified diabetes mellitus with renal complications"	0	0	1
351	93380	"C10N100"	190	"Cystic fibrosis related diabetes mellitus"	0	0	1
58	12682	"679R.00"	27057	"Patient offered diabetes structured education programme"	0	0	1
117	3837	"F420400"	37146	"Diabetic maculopathy"	0	0	1
219	102767	"67IJ100"	240	"Pre-conception advice for diabetes mellitus"	0	0	1
141	17817	"7L19800"	80744	"Subcutaneous injection of insulin"	0	0	1
163	31310	"C108900"	1582	"Insulin dependent diabetes maturity onset"	0	0	1
123	96143	"9kL..00"	1616	"Insulin initiation - enhanced services administration"	0	0	1
36	608	"66A2.00"	643242	"Follow-up diabetic assessment"	0	0	1
601	100533	"66AQ000"	29	"Unsuitable for diabetes year of care programme"	0	0	1
436	106953	"8IEa.00"	1140	"Referral to DAFNE diabetes structured educn prog declined"	0	0	1
671	109643	"66o1.00"	1	"Enquiry about diabetic erectile dysfunction declined"	0	0	1
193	46533	"13Y1.00"	473	"Diabetic association member"	0	0	1
506	58133	"ZLD7500"	165	"Discharge by diabetic liaison nurse"	0	0	1
311	16946	"13L4.11"	385	"Diabetic child"	0	0	1
501	52630	"2BBo.00"	69	"O/E - sight threatening diabetic retinopathy"	0	0	1
