Term	count	percentage_of_coh
Lower respiratory tract infection	394226	10.2494518776813
Acute lower respiratory tract infection	383647	9.974409258944865
Upper respiratory infection NOS	345767	8.989570011592921
Upper respiratory infection	336967	8.760779478945162
Sore throat symptom	245994	6.395579350926458
Otitis externa	217793	5.662383690562884
Acute sinusitis	195064	5.071454143227553
Acute bronchitis	168675	4.3853685334500865
Flu-like illness	125142	3.2535573677961205
Infective otitis externa	113385	2.9478880163938816
Lower resp tract infection	109510	2.847142185256374
Acute pharyngitis	108176	2.812459620420907
Sinusitis	94974	2.4692218236009396
Acute tonsillitis	91170	2.3703219160791127
Sore throat	68788	1.788413995428869
Otitis media	67921	1.7658729281782322
Viral upper respiratory tract infection	63529	1.6516856532476687
Acute laryngitis	44278	1.1511803641565312
Acute exacerbation of chronic obstructive airways disease	34961	0.9089483877157164
Acute maxillary sinusitis	30637	0.7965290396283402
Acute upper respiratory infection	25949	0.6746460831450795
Common cold	24895	0.6472432170756774
Tonsillitis	24267	0.63091589270036
Acute tracheitis	23657	0.6150565489600041
Influenza NOS	21384	0.5559609943340544
Throat infection - pharyngitis	21061	0.5475633418289151
Other otitis externa	18561	0.48256603141761995
Acute sinusitis NOS	18312	0.47609229930065494
Infective pneumonia	16783	0.4363399442531068
Influenza	16444	0.4275263089613352
Bronchitis	16438	0.42737031541634807
Acute wheezy bronchitis	14622	0.38015626913358325
Has a sore throat	14367	0.3735265434716311
Acute nasopharyngitis	11733	0.3050453772222905
Community acquired pneumonia	11660	0.3031474557582807
Bronchitis NOS	11547	0.3002095773276902
Sore throat symptom NOS	11066	0.287704094804557
Chest infection - unspecified bronchitis	10678	0.27761651222872397
Pharyngitis	10439	0.2714027693534042
Acute non-suppurative otitis media	10121	0.2631351114690874
Acute rhinitis	8645	0.22476069940225873
Viral sore throat NOS	8571	0.2228367790140844
Acute frontal sinusitis	8456	0.2198469027351648
Acute right otitis media	8237	0.21415313834313535
Lobar pneumonia	8184	0.2127751953624159
Non-suppurative otitis media with eustachian tube disorders	8098	0.21053928788426735
Acute coryza	8025	0.20864136642025755
Acute left otitis media	7900	0.20539150089969277
Bronchopneumonia	7501	0.19501793015805005
Purulent otitis media	6847	0.17801463375445525
Pneumonia or influenza NOS	6665	0.17328282955651295
Maxillary sinusitis	6117	0.15903541911435706
Pneumococcal lobar pneumonia	5664	0.14725790646783035
Unspecified infective otitis externa	5519	0.14348806246397525
Acute suppurative otitis media	5012	0.13030660791256457
Suspected swine influenza	4886	0.1270307434678353
Acute viral pharyngitis	4733	0.12305290807066403
Acute infective otitis externa	4098	0.10654359122619507
Throat infection - tonsillitis	4087	0.10625760306038537
Acute tonsillitis NOS	4049	0.10526964394213367
Acute pharyngitis NOS	4027	0.10469766761051429
Influenza-like illness	3876	0.10077183006167205
Acute laryngotracheitis	3587	0.09325814097812632
Acute follicular tonsillitis	3489	0.09071024641000355
Acute bronchitis NOS	3449	0.08967028944342283
Pneumonia and influenza	3287	0.0854584637287709
Acute non-suppurative otitis media - serous	3059	0.07953070901926078
Persistent sore throat	2973	0.07729480154111223
Influenza A (H1N1) swine flu	2851	0.07412293279304102
Viral laryngitis	2767	0.0719390231632215
Acute laryngitis and tracheitis	2578	0.06702522649612759
Acute tonsilitis/pharyngitis	2521	0.06554328781875006
Chest infection - pnemonia due to unspecified organism	2431	0.06320338464394343
Strep pharyngitis probability (Modified Centor) score	2426	0.06307339002312085
Basal pneumonia	2422	0.06296939432646277
Eustachian tube salpingitis	2407	0.062579410463995
Hospital acquired pneumonia	2354	0.06120146748327555
Acute otitis media with effusion	2309	0.06003151589587223
Acute tracheobronchitis	2271	0.05904355677762054
Atypical pneumonia	2228	0.05792560303854627
Serous otitis media	2106	0.05475373429047506
Frontal sinusitis	2039	0.05301180637145234
Pneumonia NOS	2015	0.05238783219150392
Peritonsillar abscess	1907	0.04957994838173597
Acute laryngitis NOS	1871	0.04864398711181331
Tracheobronchitis	1842	0.04789001831104229
Acute secretory otitis media	1831	0.04760403014523259
