readterm	count	percentage_of_coh
Chest infection NOS	283700	10.699934902757695
Chest infection	255955	9.653513704742142
Sore throat symptom	251794	9.49657881179052
Upper respiratory infection NOS	248634	9.377397302122864
Upper respiratory tract infection NOS	242018	9.12787044517311
Acute sinusitis	176108	6.642030792579669
Infective otitis externa	144602	5.453760968659035
Acute bronchitis	126776	4.78144147773003
Flu like illness	87544	3.3017804058054976
Otitis externa NOS	73267	2.7633138192469087
Acute tonsillitis	69895	2.636136588044586
Acute pharyngitis	64172	2.420289822276231
Sinusitis	51189	1.9306273096131956
Lower resp tract infection	47477	1.7906267514213148
Acute laryngitis	37775	1.4247093442075147
Acute upper respiratory tract infection	32147	1.2124455668627128
Influenza	29140	1.0990345543403568
Acute tracheitis	27901	1.0523048421637027
Otitis media NOS	26698	1.006932894021237
Acute lower respiratory tract infection	23438	0.8839798175919452
Other otitis externa	21577	0.813790960157923
Acute exacerbation of chronic obstructive airways disease	17701	0.6676050324769615
Bronchitis unspecified	17143	0.6465596899470396
Viral upper respiratory tract infection NOS	17090	0.6445607595633732
Nonsuppurative otitis media + eustachian tube disorders	16559	0.6245337400590929
Pneumonia due to unspecified organism	16553	0.6243074460533948
Rhinitis - acute	14392	0.5428038883344686
Throat infection - pharyngitis	13200	0.4978468125357827
Suppurative and unspecified otitis media	13023	0.4911711393676893
Sore throat NOS	12344	0.46556220105618956
Common cold	10923	0.41196823737336025
Acute wheezy bronchitis	10510	0.39639166664780884
Coryza - acute	10501	0.39605222563926173
Acute non suppurative otitis media	9863	0.37198962970003224
Bronchopneumonia due to unspecified organism	9247	0.34875677844836234
Influenza NOS	8040	0.3032339676354313
Acute left otitis media	5784	0.21814742149295208
Acute right otitis media	5555	0.20951053360880856
Tonsillitis	5290	0.19951588169047654
Pneumonia or influenza NOS	4626	0.17447267839322203
Acute pharyngitis NOS	4418	0.16662781952902184
Has a sore throat	4392	0.16564721217099682
Community acquired pneumonia	4152	0.15659545194307348
Acute maxillary sinusitis	3875	0.14614821201334532
Acute nasopharyngitis	3621	0.13656843243879313
Lobar (pneumococcal) pneumonia	3488	0.13155224864581894
Acute sinusitis NOS	3476	0.1310996606344228
Influenza-like symptoms	3284	0.12385825245208412
Acute suppurative otitis media	2782	0.10492498730867783
Chest cold	2700	0.10183230256413738
Unspecified infective otitis externa	2342	0.0883300935574851
Inflamed throat	2239	0.08444537979300133
Bronchitis NOS	2106	0.07942919600002715
Acute infective otitis externa	2021	0.07622336425263765
Influenza like illness	1986	0.0749033158860655
Viral sore throat NOS	1912	0.0721123564824558
Pneumonia and influenza	1876	0.0707545924482673
Acute laryngotracheitis	1851	0.06981170075785863
Basal pneumonia due to unspecified organism	1790	0.06751104503326144
Maxillary sinusitis	1767	0.06664358467808545
Acute viral pharyngitis	1729	0.06521038930866427
Acute frontal sinusitis	1687	0.06362633126877769
Catarrhal otitis media NOS	1602	0.06042049952138818
Acute bronchitis NOS	1548	0.05838385347010543
Quinsy	1521	0.057365530444464054
Other acute upper respiratory infections	1519	0.05729009910923136
Acute tonsillitis NOS	1427	0.053820257688527426
Lobar pneumonia due to unspecified organism	1384	0.052198483981024495
Acute serous otitis media	1292	0.048728642560320556
Acute tracheobronchitis	1249	0.047106868852817625
Streptococcal sore throat	1243	0.04688057484711954
Sore throat symptom NOS	1194	0.04503250713391853
Recurrent chest infection	1152	0.04344844909403195
Acute laryngitis and tracheitis	1122	0.04231697906554153
Tracheobronchitis NOS	1081	0.0407706366932713
Acute viral bronchitis unspecified	1002	0.037791098951579866
Acute secretory otitis media	991	0.03737622660780005
Eustachian tube salpingitis	986	0.037187648269718314
Chest infection - unspecified bronchitis	986	0.037187648269718314
Laryngotracheitis	940	0.03545272755936635
Atypical pneumonia	929	0.03503785521558653
Hospital acquired pneumonia	875	0.03300120916430378
Recurrent upper respiratory tract infection	869	0.0327749151586057
Acute viral laryngitis unspecified	832	0.03137943545680085
Throat infection - tonsillitis	825	0.03111542578348642
