medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release
303181000006112	"[D]Syndrome sleep apnoea"	"R0053-2"	"R005312"	73430006	303181000006112	
317387017	"[D]Apnoea"	"R0604"	"R060400"	1023001	293401000006119	
405691012	"[D]Hypersomnia with sleep apnoea"	"R0053"	"R005300"	79280005	298741000006117	
1003491000006115	"Take impression for sleep apnoea appliance"	"EMISD_TA11"	""	1003491000006104	1003491000006115	
505278011	"Apnoea alarm monitoring"	"8A43"	"8A43.00"	82808001	505278011	
1772651000006110	"Central sleep apnoea"	"EMISNQCE14"	""	27405005	1216240012	
457106016	"[D]Sleep apnoea syndrome"	"R0053-1"	"R005311"	73430006	302381000006119	
219501000000111	"Obstructive sleep apnoea"	"H5B0"	"H5B0.00"	78275009	219501000000111	
267911000006119	"Obstructive sleep apnoea"	"Fy03-1"	"Fy03.11"	78275009	267911000006119	
317034011	"[D]Insomnia with sleep apnoea"	"R0051"	"R005100"	41975002	298981000006113	
1964911000006114	"Equipment in use - sleep apnoea treatment system"	"EMISNQEQ13"	""	1964911000006105	1964911000006114	
981761000006114	"Sleep apnea"	"EMISCSL4"	""	981761000006105	981761000006114	
200354014	"Sleep apnoea"	"H5B"	"H5B..00"	73430006	200354014	
136581000006114	"Sleep apnoea"	"Fy03"	"Fy03.00"	73430006	136581000006114	
