v1	medcode	readcode	clinicalevents	readterm
190	39877	"7A48400"	39	"Bypass femoral artery by fem/tib art anast c prosthesis NEC"
280	105136	"7A18400"	6	"Revision of plastic repair of aorta"
1	2760	"G73zz00"	57752	"Peripheral vascular disease NOS"
290	28894	"7A44y00"	10	"Other specified transluminal operation on iliac artery"
43	18499	"662U.00"	20647	"Peripheral vascular disease monitoring"
286	55324	"7A43y00"	10	"Other specified other open operation on iliac artery"
239	65669	"7A49700"	10	"Profundoplasty of popliteal artery NEC"
210	43179	"7A19000"	31	"Endarterectomy of aorta and patch repair of aorta"
369	112511	"7A47A00"	1	"Emerg bypass fem art by fem/peron a anast c vein graft NEC"
358	99727	"7A40A00"	2	"Replace aneurysm iliac art by aorta/ext iliac art anast NEC"
202	95976	"7A1B500"	55	"Endovascular stenting of aorto-uniiliac aneurysm"
334	54379	"7A14200"	1	"Replace aneurys suprarenal aorta by anast aorta to aorta NEC"
95	42115	"7A48D00"	59	"Bypass popliteal artery by pop/fem artery anastomosis NEC"
47	17328	"7A1..00"	1203	"Aorta operations"
57	63408	"7A13411"	30	"Tube graft abdominal Aortic aneurysm (emergency)"
317	111190	"7A47900"	1	"Emerg bypass popliteal art by pop/peron a anast c prosth NEC"
374	115355	"7A45.11"	1	"Emerg replacement aneurysmal femoral/popl art by anastomosis"
31	54212	"C109F00"	10	"Non-insulin-dependent d m with peripheral angiopath"
37	34638	"G731.00"	148	"Thromboangiitis obliterans"
22	14895	"7A12111"	1379	"Aorto bifemoral graft"
319	68141	"7A41400"	2	"Emerg bypass comm iliac art by aorta/com iliac art anast NEC"
208	44439	"7A46.14"	116	"Other replacement of aneurysmal popliteal artery"
91	18051	"7A19300"	86	"Operation on aortic body"
185	64961	"7A14000"	28	"Replace aneurysm ascend aorta by anast of aorta/aorta NEC"
111	26232	"7A14411"	60	"Tube graft of Abdominal aortic aneurysm"
247	41583	"7A4By00"	19	"Transluminal operation on femoral or popliteal artery OS"
14	18060	"7A48.14"	2478	"Other bypass of femoral artery"
9	9119	"7A4A200"	919	"Open embolectomy of femoral artery"
357	99676	"7A47800"	2	"Emerg bypass femoral art by fem/peron art anast c prosth NEC"
153	106660	"9m11.00"	2139	"Peripheral vascular disease monitoring second letter"
29	6356	"7A4B000"	8915	"Percutaneous transluminal angioplasty of femoral artery"
216	32492	"7A41900"	15	"Bypass common iliac artery by aorta/com iliac art anast NEC"
174	18030	"7A4B800"	22	"Percut translum thrombolysis femoral graft streptokinase"
351	96656	"7A46z00"	6	"Other replacement of aneurysmal femoral/popliteal artery NOS"
10	28651	"7A4z.00"	179	"Iliac and femoral artery operations NOS"
212	63711	"7A4Bz00"	19	"Transluminal operation on femoral or popliteal artery NOS"
44	24723	"7A4B600"	632	"Arteriography of femoral artery"
81	51124	"7A4A400"	107	"Ligation of aneurysm of popliteal artery"
119	40397	"7A4A.00"	108	"Other open operations on femoral artery or popliteal artery"
267	90504	"7A18500"	25	"Plastic repair of aorta and insertion of tube graft"
299	97596	"7A17z00"	1	"Attention to prosthesis of aorta NOS"
327	103731	"7A46.15"	4	"Other replacement of aneurysmal superficial femoral artery"
335	94682	"7A1C100"	7	"Endovas insert of stent graft for suprarenal aortic aneurysm"
328	68385	"7A46.11"	2	"Other replacement aneurysmal femoral artery by anastomosis"
242	50122	"7A1A200"	15	"Percutaneous transluminal embolectomy of aortic bifurcation"
199	83527	"7A1B300"	14	"Endovascular stenting of aortic dissection in any position"
41	6256	"7A4B200"	272	"Percutaneous transluminal embolectomy of femoral artery"
75	30484	"R055011"	273	"[D]Peripheral circulatory failure"
293	44250	"7A41000"	11	"Emerg bypass iliac art by iliac/femoral art anastomosis NEC"
158	104910	"9hS..00"	453	"Exception report: peripherl arterial disease quality indicat"
134	31053	"R054300"	60	"[D]Widespread diabetic foot gangrene"
132	27580	"7A48000"	656	"Bypass femoral artery by fem/pop art anast c prosthesis NEC"
144	71141	"7A46300"	3	"Replace aneurysm pop art by pop/pop a anast c vein graft NEC"
226	48939	"7A47C00"	18	"Emerg bypass femoral artery by fem/fem art anastomosis NEC"
164	93627	"7A1Cz00"	3	"Translum ins stent graft for aneurysmal segment of aorta NOS"
197	65692	"7A47y00"	12	"Other emergency bypass of femoral or popliteal artery OS"
121	31613	"7A13.00"	260	"Emergency replacement of aneurysmal segment of aorta"
217	59602	"7A42012"	24	"Iliac endarterectomy and patch"
320	105621	"Gyu7800"	2	"[X]Aneurysm of aorta in diseases classified elsewhere"
176	16363	"7A4A211"	289	"Open thrombectomy of femoral artery"
314	67401	"G731z00"	5	"Thromboangiitis obliterans NOS"
73	19825	"5593.00"	80	"Femoral arteriogram abnormal"
352	96654	"7A11000"	1	"Emerg repl aneurysm bifurc aorta by anast aorta to fem art"
175	16260	"G702z00"	131	"Extremity artery atheroma NOS"
257	67982	"7A48800"	8	"Bypass femoral artery by fem/peron a anast c prosthesis NEC"
238	71041	"7A4B400"	19	"Percutaneous transluminal embolisation of femoral artery"
252	61974	"7A48.11"	41	"Other bypass of femoral or popliteal artery by anastomosis"
