medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release
1034891000006113	"Adverse reaction to Mycil Athlete's Foot"	"ALLERGY15478NEMIS"	""	1034891000006109	1034891000006113	
394508013	"Cauterisation of lesion of skin NEC"	"7G090"	"7G09000"	302395004	540181000006113	
274557015	"Cauterisation of lesion of skin of head or neck"	"7G080"	"7G08000"	177327003	274557015	
274560010	"Cauterised destruction of lesion of skin of head or neck"	"7G080-1"	"7G08011"	177327003	274560010	
274578017	"Chemical peeling of lesion of skin NEC"	"7G092"	"7G09200"	240996002	546211000006110	
274562019	"Chemical peeling of lesion of skin of head or neck"	"7G082"	"7G08200"	177329000	274562019	
394505011	"Curettage and cauterisation of lesion of skin NEC"	"7G061"	"7G06100"	302391008	604641000006118	
274534014	"Curettage and cauterisation of lesion of skin head or neck"	"7G060"	"7G06000"	177312003	274534014	
486271000000111	"Electrodessication of lesion of skin NEC"	"7G095"	"7G09500"	450485008	1588501000006117	
2674033013	"Electrodessication of lesion of skin of the head or neck"	"7G085"	"7G08500"	426349002	2674033013	
1776344010	"Re-excision of lesion of skin"	"ESCTRE52"	""	396401003	1776344010	
831331000006116	"2 week rule referral - skin"	"EMISQ2W10"	""	831331000006100	831331000006116	
357305010	"Abscess of skin area excluding digits of hand or foot"	"M03-1"	"M03..11"	238385004	357305010	
1234941012	"Accessory skin tags"	"PH3y0-99"	"PH3y099"	84449007	1234941012	
1806391000006119	"Acne"	"JHCAC4"	""	11381005	19696016	
357834014	"Acne agminata"	"M261G"	"M261G00"	238752009	357834014	
70464010	"Acne conglobata"	"M2611"	"M261100"	42228007	70464010	
1218808012	"Acne excoriee des jeunes filles"	"M261E"	"M261E00"	10065003	1218808012	
40136019	"Acne frontalis"	"M2600"	"M260000"	23894009	40136019	
8786013	"Acne fulminans"	"M261F"	"M261F00"	4659007	8786013	
982841000006114	"Acne fulminans"	"EMISNQAC3"	""	982841000006105	982841000006114	
453021000006110	"Acne keloid"	"M25y6"	"M25y600"	238746008	453021000006110	
357823011	"Acne keloid"	"M261H"	"M261H00"	238746008	357823011	
357818011	"Acne keloidalis"	"M261K"	"M261K00"	238742005	357818011	
1711221000006115	"Acne keloidalis"	"EMISNQAC13"	""	1711221000006104	1711221000006115	
2376391000000118	"Acne management education"	"679g0"	"679g000"	926971000000107	2376391000000118	
453041000006115	"Acne necrotica"	"M260z-1"	"M260z11"	45072005	453041000006115	
494096014	"Acne necrotica"	"M261J"	"M261J00"	45072005	494096014	
1230762011	"Acne neonatorum"	"M2617"	"M261700"	49706007	1230762011	
1786588010	"Acne rosacea"	"M1530"	"M153000"	398909004	1786588010	
889291000006117	"Acne roscea"	"M1530-99"	"M153099"	398909004	889291000006117	
369523011	"Acne scar"	"2FG5"	"2FG5.00"	247459000	369523011	
309123011	"Acne urticata"	"M261D"	"M261D00"	201224007	309123011	
40135015	"Acne varioliformis"	"M260"	"M260.00"	23894009	40135015	
399940016	"Acne varioliformis NOS"	"M260z"	"M260z00"	23894009	453101000006118	
146927011	"Acne vulgaris"	"M2610"	"M261000"	88616000	146927011	
453121000006111	"Acne, unspecified"	"M261X"	"M261X00"	11381005	453121000006111	
1246131000033115	"Acne-Aid"	"DRGA41511NEMIS"	""	1246131000033104	1246131000033115	
357680013	"Acquired keratosis follicularis"	"M21y7"	"M21y700"	238641006	357680013	
455001000006118	"Actinic keratosis"	"M226-1"	"M226.11"	201101007	455001000006118	
1208677014	"Actinic keratosis"	"M22z-1"	"M22z.11"	201101007	1208677014	
357331012	"Acute lymphangitis of skin excluding digits of hand or foot"	"M03-2"	"M03..12"	238404003	357331012	
461311000006111	"Adherent scar (skin)"	"M2y14"	"M2y1400"	60131003	461311000006111	
1899291000006116	"Advice about acne management"	"EMISNQAD93"	""	1899291000006100	1899291000006116	
309291013	"Amyloidosis of skin"	"M2y9"	"M2y9.00"	201337008	309291013	
300765017	"Anal and rectal skin tags NOS"	"G849z"	"G849z00"	195469007	481051000006112	
300761014	"Anal skin tag"	"G8490"	"G849000"	195469007	300761014	
360395017	"Anal warts"	"A7813-1"	"A781311"	240597001	360395017	
484371000006118	"Anogenital Warts - First Attack"	"C11A-KC60"	""	484371000006102	484371000006118	
484381000006115	"Anogenital Warts - Re-registered Cases"	"C11C-KC60"	""	484381000006104	484381000006115	
484391000006117	"Anogenital Warts - Recurrence"	"C11B-KC60"	""	484391000006101	484391000006117	
490621000006118	"Araneus naevus"	"G7710-1"	"G771011"	195382003	490621000006118	
11003018	"Athlete's foot"	"AB04-1"	"AB04.11"	6020002	11003018	
308902011	"Atrophic spots of skin"	"M2132"	"M213200"	201070005	308902011	
