medcode	readcode	clinical_events	immunisation_events	referral_events	test_events	read_term	database_build
2186	"7G09000"	47285	0	169	9	"Cauterisation of lesion of skin NEC"	"February 2009"
21212	"7G08000"	673	0	2	0	"Cauterisation of lesion of skin of head or neck"	"February 2009"
97713	"7G08011"	9	0	0	0	"Cauterised destruction of lesion of skin of head or neck"	"October 2009"
37612	"7G09200"	72	0	1	0	"Chemical peeling of lesion of skin NEC"	"February 2009"
44974	"7G08200"	114	0	1	0	"Chemical peeling of lesion of skin of head or neck"	"February 2009"
21223	"7G06000"	993	0	2	0	"Curettage and cauterisation of lesion of skin head or neck"	"February 2009"
21690	"7G06100"	7241	0	4	0	"Curettage and cauterisation of lesion of skin NEC"	"February 2009"
94110	"7G09500"	36	0	0	0	"Electrodessication of lesion of skin NEC"	"February 2009"
91287	"7G08500"	9	0	0	0	"Electrodessication of lesion of skin of the head or neck"	"February 2009"
48152	"BBEb.00"	102	0	12	0	"[M] Epithelioid cell naevus"	"February 2009"
6937	"BBEN.13"	1906	0	67	0	"[M] Spitz naevus"	"February 2009"
68621	"BBE9.11"	17	0	0	0	"[M]Achromic naevus"	"February 2009"
22692	"BBEG000"	134	0	6	0	"[M]Acral lentiginous melanoma, malignant"	"February 2009"
16146	"BBB2.00"	42	0	4	0	"[M]Adenocarcinoma with squamous metaplasia"	"February 2009"
31004	"BB2G.00"	50	0	1	0	"[M]Adenoid squamous cell carcinoma"	"February 2009"
12580	"BBB0.00"	184	0	0	0	"[M]Adenosquamous carcinoma"	"February 2009"
10315	"BB6z.00"	32	0	1	0	"[M]Adnexal and skin appendage neoplasm NOS"	"February 2009"
29563	"BB6..00"	181	0	12	0	"[M]Adnexal and skin appendage neoplasms"	"February 2009"
17232	"BBEA.00"	173	0	17	0	"[M]Amelanotic melanoma"	"February 2009"
68889	"BBE4.00"	0	0	1	0	"[M]Balloon cell melanoma"	"February 2009"
99595	"BBE3.00"	1	0	0	0	"[M]Balloon cell naevus"	"May 2010"
16902	"BB5y000"	1320	0	334	1	"[M]Basal cell adenocarcinoma"	"February 2009"
34291	"BB5A.00"	380	0	36	0	"[M]Basal cell adenoma"	"February 2009"
3028	"BB31.00"	21458	0	1735	0	"[M]Basal cell carcinoma NOS"	"February 2009"
29524	"BB34.00"	240	0	5	0	"[M]Basal cell carcinoma, fibroepithelial type"	"February 2009"
103178	"BB3F.00"	80	0	0	0	"[M]Basal cell carcinoma, infiltrative"	"October 2011"
103440	"BB3E.00"	21	0	0	0	"[M]Basal cell carcinoma, micronodular"	"December 2011"
9885	"BB33.00"	5129	0	867	0	"[M]Basal cell carcinoma, morphoea type"	"February 2009"
102547	"BB3D.00"	657	0	16	0	"[M]Basal cell carcinoma, nodular"	"July 2011"
30853	"BB3z.00"	311	0	7	0	"[M]Basal cell neoplasm NOS"	"February 2009"
3516	"BB3..00"	5119	0	809	0	"[M]Basal cell neoplasms"	"February 2009"
29282	"BB30.00"	390	0	11	0	"[M]Basal cell tumour"	"February 2009"
35457	"BB35.00"	273	0	8	0	"[M]Basosquamous carcinoma"	"February 2009"
4716	"BBEU.00"	969	0	65	12	"[M]Blue naevus NOS"	"February 2009"
68447	"BBEV.00"	8	0	0	0	"[M]Blue naevus, malignant"	"February 2009"
7264	"BBEW.00"	537	0	8	0	"[M]Cellular blue naevus"	"February 2009"
1732	"BBEK.00"	24208	0	513	105	"[M]Compound naevus"	"February 2009"
9568	"BBEJ.11"	1589	0	55	0	"[M]Dermal naevus"	"February 2009"
58835	"BBE1100"	30	0	1	0	"[M]Desmoplastic melanoma, malignant"	"February 2009"
3376	"BBEY.00"	6096	0	323	1	"[M]Dysplastic naevus"	"February 2009"
36124	"BB5H.00"	112	0	10	0	"[M]Eccrine dermal cylindroma"	"February 2009"
37621	"BBQ4.00"	24	0	0	0	"[M]Endodermal sinus tumour"	"February 2009"
1261	"BBEN.00"	675	0	38	4	"[M]Epithelioid and spindle cell naevus"	"February 2009"
23085	"BBEP.00"	2	0	0	0	"[M]Epithelioid cell melanoma"	"February 2009"
105954	"BBEW.11"	1	0	0	0	"[M]Giant blue naevus"	"April 2013"
42340	"BBEL.00"	103	0	17	0	"[M]Giant pigmented naevus"	"February 2009"
12574	"BBE0.11"	2408	0	277	0	"[M]Hairy naevus NOS"	"February 2009"
4776	"BBE5.00"	6632	0	217	1	"[M]Halo naevus"	"February 2009"
19041	"BB29.12"	970	0	23	0	"[M]Intraepidermal carcinoma NOS"	"February 2009"
49835	"BB37.00"	29	0	0	0	"[M]Intraepidermal epithelioma of Jadassohn"	"February 2009"
55556	"BBEB.11"	105	0	1	0	"[M]Intraepidermal naevus"	"February 2009"
19678	"BB29.13"	1009	0	117	0	"[M]Intraepithelial squamous cell carcinoma"	"February 2009"
20853	"BBE6.11"	7	0	0	0	"[M]Involuting naevus"	"February 2009"
21383	"BBEU.11"	32	0	2	0	"[M]Jadassohn's blue naevus"	"February 2009"
3564	"BBEB.00"	4109	0	128	13	"[M]Junctional naevus"	"February 2009"
4871	"BBEN.11"	279	0	47	0	"[M]Juvenila melanoma"	"February 2009"
38842	"BBEN.12"	35	0	2	0	"[M]Juvenila naevus"	"February 2009"
11922	"BBEG.11"	896	0	26	0	"[M]Lentigo maligna melanoma"	"February 2009"
11496	"BBE8.00"	24	0	0	0	"[M]Magnocellular naevus"	"February 2009"
