medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release
1654017	"ABO incompatibility reaction"	"SP36"	"SP36.00"	341009	1654017	
441241000006114	"Accid cut,puncture,perf,h'ge - transfusion"	"TA011"	"TA01100"	242995009	441241000006114	
900721000006114	"Accid.wound in transfusion"	"TA011-99"	"TA01199"	216875008	900721000006114	
1014401000006114	"Adverse reaction to Parenteral Iron Therapy"	"ALLERGY9.1.1.2"	""	1014401000006105	1014401000006114	
330937014	"Adverse reaction to blood or blood products NOS"	"TJ47z"	"TJ47z00"	419887003	465561000006117	
468291000006117	"Adverse reaction to iron sorbitol injection"	"TJ407"	"TJ40700"	293359002	468291000006117	
469361000006110	"Adverse reaction to natural blood and blood products"	"TJ47"	"TJ47.00"	293315006	469361000006110	
184781017	"Autotransfusion of red cells"	"7L148"	"7L14800"	117066004	184781017	
877391000006112	"Blood cell transfusion"	"7L14-99"	"7L14.99"	652651000000105	877391000006112	
877371000006111	"Blood cell transfusion NOS"	"7L14-97"	"7L14.97"	652651000000105	877371000006111	
877471000006115	"Blood expander transfusion"	"7L153-99"	"7L15399"	78281001	877471000006115	
351161000000119	"Blood products Band 1"	"7Q020"	"7Q02000"	221191000000101	351161000000119	
351181000000111	"Blood products Band 2"	"7Q021"	"7Q02100"	221201000000104	351181000000111	
428230014	"Blood transfusion"	"7L143-1"	"7L14311"	116859006	428230014	
1488525011	"Blood transfusion (specialty)"	"9bC1"	"9bC1.00"	394819004	1488525011	
1594091000000117	"Blood transfusion declined"	"8IAm"	"8IAm.00"	699128009	2982804018	
905171000006117	"Blood transfusion referral"	"EMISSPR821"	""	905171000006101	905171000006117	
518631000006110	"Blood transfusion with complication, without blame"	"TB1y0"	"TB1y000"	217079007	518631000006110	
329192016	"Contaminated substance transfused"	"TA500"	"TA50000"	216994004	329192016	
900941000006116	"Contaminent transfused"	"TA50-99"	"TA50.99"	216993005	900941000006116	
877581000006118	"Cut-down blood transfusion"	"7L165-99"	"7L16599"	180226000	877581000006118	
1594771000000118	"Does not wish to receive blood products"	"9Ng8"	"9Ng8.00"	727431000000105	1594771000000118	
900881000006115	"Excess fluid/blood transfused"	"TA30-99"	"TA30.99"	671691000000105	900881000006115	
650631000006113	"Excessive amount of blood or other fluid transfused"	"TA300"	"TA30000"	216954001	650631000006113	
453231014	"Extravasation following blood transfusion"	"G8y00"	"G8y0000"	309750008	453231014	
329113013	"Failure of sterile precautions during transfusion"	"TA211"	"TA21100"	216930006	329113013	
329078012	"Foreign object left in body during transfusion"	"TA111"	"TA11100"	216901004	329078012	
325211011	"Infection after transfusion"	"SP332"	"SP33200"	213315003	325211011	
744791000006116	"Intraarterial blood transfusion"	"7L140"	"7L14000"	180206004	744791000006116	
871141000006114	"Intrauterine exch. transfusion"	"7F032-99"	"7F03299"	45460008	871141000006114	
987871000006115	"Intravenous blood transfusion"	"7L143-99"	"7L14399"	116859006	987871000006115	
877381000006114	"Intravenous blood transfusion"	"7L14-98"	"7L14.98"	652651000000105	877381000006114	
394631015	"Intravenous blood transfusion NEC"	"7L143"	"7L14300"	301842006	768261000006116	
278753010	"Intravenous blood transfusion of packed cells"	"7L141"	"7L14100"	180207008	278753010	
278754016	"Intravenous blood transfusion of platelets"	"7L142"	"7L14200"	180208003	278754016	
713681000006115	"Mechanical failure of apparatus during transfusion"	"TA411"	"TA41100"	216975009	713681000006115	
329203013	"Mismatched blood transfused"	"TAy0"	"TAy0.00"	217005002	329203013	
484634012	"Natural blood and blood product poisoning"	"SL47"	"SL47.00"	30564001	484634012	
324165013	"Natural blood or blood product poisoning NOS"	"SL47z"	"SL47z00"	30564001	681081000006119	
900831000006116	"Not sterile in transfusion"	"TA211-99"	"TA21199"	216930006	900831000006116	
278751012	"Other blood transfusion"	"7L14"	"7L14.00"	116859006	36461000006110	
278760016	"Other blood transfusion NOS"	"7L14z"	"7L14z00"	116859006	36471000006115	
278762012	"Other intravenous transfusion"	"7L15"	"7L15.00"	5447007	27931000006114	
278767018	"Other intravenous transfusion NOS"	"7L15z"	"7L15z00"	5447007	27941000006116	
